Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2017-05-04 16:05,Cierre forzoso fin sesión,20897,47.8,999928.2,-1051.6,-0.11,239,0.02,-1195,-0.12,-1051.6,-0.11
1,Entry long,2017-05-04 16:00,Long,20919,47.8,999928.2,-1051.6,-0.11,239,0.02,-1195,-0.12,-1051.6,-0.11
2,Exit short,2017-05-19 16:05,Cierre forzoso fin sesión,20801,48,998208,-240,-0.02,0,0.00,-576,-0.06,-1291.6,-0.13
2,Entry short,2017-05-19 16:00,Short,20796,48,998208,-240,-0.02,0,0.00,-576,-0.06,-1291.6,-0.13
3,Exit short,2017-06-13 15:55,Exit Short Trailing,21328,46.8,998010,-140.4,-0.01,234,0.02,-468,-0.05,-1432,-0.14
3,Entry short,2017-06-13 15:45,Short,21325,46.8,998010,-140.4,-0.01,234,0.02,-468,-0.05,-1432,-0.14
4,Exit long,2017-06-16 16:05,Cierre forzoso fin sesión,21380,46.7,997745.5,700.5,0.07,793.9,0.08,-280.2,-0.03,-731.5,-0.07
4,Entry long,2017-06-16 15:35,Long,21365,46.7,997745.5,700.5,0.07,793.9,0.08,-280.2,-0.03,-731.5,-0.07
5,Exit long,2017-06-21 16:05,Cierre forzoso fin sesión,21451,46.5,998308.5,-837,-0.08,46.5,0.00,-837,-0.08,-1568.5,-0.16
5,Entry long,2017-06-21 15:45,Long,21469,46.5,998308.5,-837,-0.08,46.5,0.00,-837,-0.08,-1568.5,-0.16
6,Exit short,2017-06-28 15:45,Exit Short Trailing,21460,46.4,996440,696,0.07,696,0.07,-92.8,-0.01,-872.5,-0.09
6,Entry short,2017-06-28 15:40,Short,21475,46.4,996440,696,0.07,696,0.07,-92.8,-0.01,-872.5,-0.09
7,Exit short,2017-07-03 16:00,Exit Short Trailing,21545,46.3,998413.2,879.7,0.09,879.7,0.09,-46.3,0.00,7.2,0.00
7,Entry short,2017-07-03 15:35,Short,21564,46.3,998413.2,879.7,0.09,879.7,0.09,-46.3,0.00,7.2,0.00
8,Exit short,2017-07-13 15:50,Exit Short Trailing,21569,46.3,998274.3,-370.4,-0.04,138.9,0.01,-370.4,-0.04,-363.2,-0.04
8,Entry short,2017-07-13 15:40,Short,21561,46.3,998274.3,-370.4,-0.04,138.9,0.01,-370.4,-0.04,-363.2,-0.04
9,Exit long,2017-08-17 15:55,Exit Long Trailing,21924,45.6,999278.4,456,0.05,547.2,0.05,0,0.00,92.8,0.01
9,Entry long,2017-08-17 15:50,Long,21914,45.6,999278.4,456,0.05,547.2,0.05,0,0.00,92.8,0.01
10,Exit short,2017-08-22 15:45,Exit Short Trailing,21878,45.7,999778.9,-45.7,0.00,91.4,0.01,-365.6,-0.04,47.1,0.00
10,Entry short,2017-08-22 15:40,Short,21877,45.7,999778.9,-45.7,0.00,91.4,0.01,-365.6,-0.04,47.1,0.00
11,Exit long,2017-08-28 15:55,Exit Long Trailing,21834,45.8,998943.8,1053.4,0.11,1053.4,0.11,-45.8,0.00,1100.5,0.11
11,Entry long,2017-08-28 15:45,Long,21811,45.8,998943.8,1053.4,0.11,1053.4,0.11,-45.8,0.00,1100.5,0.11
